LOGICIEL,CRITICITE,ID TICKET,TYPE TICKET,PRIORITE,SUJET,STATUT,DATE SIGNALISATION,ETAT REVERSEMENT,VERSION INCLUANT LE REVERSEMENT
LibreOffice,Non-critique,440,Anomalie,Non bloquant,Impressions conditionelles sous Calc avec les icônes.,9 - Fermé,6/3/2014 10:31,,
LibreOffice,Non-critique,441,Anomalie,Non bloquant,Les .doc produits par le Ministère de l'Intérieur sur le site du BIEP sont illisibles sous LibreOffice 4.1.4.2 (Version Mimo) .,9 - Fermé,6/3/2014 11:00,,
OBM,Non-critique,442,Anomalie,Non bloquant,[Clamav] Problème après mise à jour des paquets official,9 - Fermé,6/3/2014 15:55,,
Apache HTTP Server,Non-critique,443,Anomalie,Bloquant,[error] (103)Software caused connection abort: cache: error returned while trying to return disk cached data,11 - Rejeté,6/4/2014 12:57,,
OBM,Non-critique,444,Anomalie,Non bloquant,[OBM] Administration,11 - Rejeté,6/5/2014 11:42,,
OBM,Non-critique,445,Anomalie,Non bloquant,[OBM] Administration FTP : pas de possibilité d'indiquer 127.0.0.1,11 - Rejeté,6/5/2014 12:51,,
LibreOffice,Non-critique,446,Anomalie,Non bloquant,Timbre non modifiable dans LibreOffice 3.5.7  : demande d'un correctif pour Windows,9 - Fermé,6/11/2014 18:29,,
OBM,Non-critique,448,Anomalie,Non bloquant,[opush] Fichier /var/lib/opush/MailSnapshotStore.data très gros,9 - Fermé,6/16/2014 13:05,,
OBM,Non-critique,449,Anomalie,Bloquant,[Icasso 2/Wheezy] La vue arborescente de l'annuaire ne fonctionne pas,9 - Fermé,6/16/2014 17:42,,
LibreOffice,Non-critique,450,Anomalie,Bloquant,Il manque deux DLL dans la version M16,9 - Fermé,6/17/2014 10:42,,
OBM,Non-critique,451,Anomalie,Non bloquant,Horde : contacts perso et publics mélangés,11 - Rejeté,6/18/2014 11:14,,
OBM,Non-critique,452,Anomalie,Non bloquant,Horde : le carnet d'adresses contacts n'est pas présent ,9 - Fermé,6/18/2014 11:16,,
OBM,Non-critique,453,Anomalie,Non bloquant,"Horde : aide non disponible des rubriques dans menu ""Options""",9 - Fermé,6/18/2014 11:19,,
OBM,Non-critique,455,Anomalie,Non bloquant,"Les logs mail, auth et wtmp sont ""rotates"" à 23h59 et à 6h25",9 - Fermé,6/19/2014 19:13,,
OBM,Non-critique,456,Anomalie,Non bloquant,O'push : pb suite nouvelle création de compte sur smartphone,9 - Fermé,6/20/2014 11:53,,
LibreOffice,Non-critique,457,Anomalie,Non bloquant,L'impression du Fichier en P.J.  (Imprimante ou dans un PDF) propose les titres en noir alors qu'ils sont blancs. ,9 - Fermé,6/25/2014 13:47,,
OBM,Non-critique,458,Anomalie,Non bloquant,Problème de droits sur agendas,11 - Rejeté,6/26/2014 11:53,,
OBM,Non-critique,459,Anomalie,Non bloquant,[cron] Les crons OBM ne sont pas exécutés durant la tâche de sauvegarde quotidienne,9 - Fermé,6/27/2014 11:32,,
OBM,Non-critique,460,Anomalie,Non bloquant,[boîtes aux lettres] Problème modification nom complet,10 - Abandonné,6/30/2014 16:48,,
LibreOffice,Non-critique,461,Anomalie,Bloquant,Crach Fusion Publipostage avec la version M16 (Prefecture EVRY),11 - Rejeté,7/3/2014 12:04,,
OBM,Non-critique,462,Anomalie,Non bloquant,[OBM] : Création d'un carnet d'adresses avec un slash : sauvegarde en erreur,9 - Fermé,7/3/2014 14:34,,
OBM,Non-critique,466,Anomalie,Non bloquant,[Agenda] invitation ics : mauvaise interprétation par Outlook,9 - Fermé,7/4/2014 12:36,,
OBM,Non-critique,467,Anomalie,Non bloquant,[opush] Erreur 401 après migration Etch vers Wheezy,9 - Fermé,7/11/2014 12:16,,
OBM,Non-critique,468,Anomalie,Bloquant,[obm-sync] Gros problème avec les agendas,9 - Fermé,7/11/2014 15:47,,
OBM,Non-critique,469,Anomalie,Non bloquant,[OBM] Administration entité : pas de contrôle sur url pour un user,9 - Fermé,7/16/2014 12:02,,
OBM,Non-critique,470,Anomalie,Bloquant,[opush] Problème synchronisation agenda d'un préfet,9 - Fermé,7/17/2014 18:47,,
LibreOffice,Non-critique,471,Anomalie,Non bloquant,Problème d'impression sur les titres sur fonds blancs.,4 - Contournement livré,7/23/2014 17:23,,
OBM,Non-critique,472,Anomalie,Bloquant,[OBM] PDA supprimés de périphériques sans action manuelle,11 - Rejeté,7/25/2014 11:33,,
OBM,Non-critique,473,Anomalie,Non bloquant,[Agenda] Erreur SQL rdv reccurrent,9 - Fermé,7/30/2014 16:28,,
LibreOffice,Non-critique,474,Anomalie,Bloquant,La désactivation du Shell Explorer provoque des effets collatéraux,9 - Fermé,8/5/2014 10:45,,
Maarch,Non-critique,475,Anomalie,Non bloquant,Qualificattion de documents - Priorité,9 - Fermé,8/5/2014 16:05,Accepté sans modification,
LibreOffice,Non-critique,477,Anomalie,Bloquant,Crash aléatoire de Calc dans les versions > 4  de MIMO dans des feuilles calc utilisées en réseau sur Win7 64 bit,9 - Fermé,8/7/2014 14:13,,
OBM,Non-critique,478,Anomalie,Non bloquant,|OBM] Groupes,11 - Rejeté,8/11/2014 16:13,,
OBM,Non-critique,479,Anomalie,Non bloquant,[OBM] : Agenda / Création d'un libellé,9 - Fermé,8/12/2014 15:59,,
OBM,Non-critique,480,Anomalie,Non bloquant,[Migration Etch vers Wheezy] cyrus pas prêt lors de l'exécution de l'automate,9 - Fermé,8/21/2014 10:57,,
OBM,Non-critique,481,Anomalie,Non bloquant,[Agenda] Evenements d'un compte supprimé non supprimables,9 - Fermé,8/21/2014 11:30,,
OBM,Non-critique,482,Anomalie,Bloquant,[migration icasso 1 vers icasso 2 - CER] Problème migration de la base de données,9 - Fermé,8/22/2014 16:17,,
OBM,Non-critique,483,Anomalie,Bloquant,[Migration Icasso 1 vers Icasso 2 - ddsp972] Problème migration de la base de données,11 - Rejeté,8/22/2014 16:19,,
OBM,Non-critique,484,Anomalie,Bloquant,[Migration Icasso 1 vers Icasso 2 - pref42] Problème lors de l'exécution de l'automate + problème ajout d'un groupe dans l'annuaire,9 - Fermé,8/22/2014 18:15,,
LibreOffice,Non-critique,485,Demande d'information,Non bloquant,Une alterte de sécurité a été signalée (et corrigée) sur les version 4.2 et 4.3 ,9 - Fermé,9/1/2014 14:07,,
LibreOffice,Non-critique,486,Demande d'information,Non bloquant,Liste des tickets corrigés dans la 4.1.6,9 - Fermé,9/2/2014 16:10,,
OBM,Non-critique,487,Anomalie,Bloquant,[migration Icasso 1 vers Icasso 2] Echec du script de migration - Too many open files,9 - Fermé,9/2/2014 17:56,,
LibreOffice,Non-critique,488,Anomalie,Bloquant,Ce fichier (créé probablement sur calc 4.04  Windows ) plante sur toutes les versions de Calc sous Windows (mais pas sous Linux),4 - Contournement livré,9/3/2014 15:50,,
OBM,Non-critique,490,Anomalie,Bloquant,[migration Icasso 1 vers Icasso 2] Suppression d'un utilisateur dans ldap et postfix à l'issue de la migration,9 - Fermé,9/8/2014 12:23,,
389 Directory Server,Non-critique,492,Anomalie,Non bloquant,Corruption de données dans un annuaire composé de deux 389-ds en multi-maîtres,9 - Fermé,9/9/2014 10:33,,
OBM,Non-critique,494,Anomalie,Non bloquant,[Migration etch vers wheezy] Plantage de cyrus sur serveur Etch durant la phase de rsync à chaud,9 - Fermé,9/9/2014 13:19,,
Alfresco community,Critique,495,Anomalie,Bloquant,Accès CIFS au travers d'un proxy : Adresse IP unique pour tous les clients,9 - Fermé,9/9/2014 18:47,,
OBM,Non-critique,496,Anomalie,Non bloquant,OBM : organigramme,9 - Fermé,9/12/2014 13:08,,
OBM,Non-critique,497,Anomalie,Bloquant,[Migration Icasso 1 vers Icasso 2] Problème lors de la migration de la bd d'un serveur,9 - Fermé,9/15/2014 14:12,,
OBM,Non-critique,498,Anomalie,Bloquant,[Migration I1 vers I2] erreur lors de la migration d'une base de données pendant la migration réelle,9 - Fermé,9/17/2014 11:42,,
OBM,Non-critique,499,Anomalie,Non bloquant,[icasso-conf] Valeur de maxchild pour imap dans le fichier /etc/cyrus.conf,9 - Fermé,9/19/2014 21:03,,
Moodle,Non-critique,500,Anomalie,Bloquant,Accès au module E-formation Anglais,11 - Rejeté,9/22/2014 16:21,,
LibreOffice,Non-critique,501,Demande d'information,Non bloquant,Problémes de Run Time trouvé sur la M16 ... Vérifier la M18 ...,9 - Fermé,9/23/2014 14:07,,
OBM,Non-critique,502,Anomalie,Non bloquant,"[Groupe] Ajout chaîne ""Rechercher ..."" à la place de l'adresse mail d'un membre externe",9 - Fermé,9/23/2014 17:59,,
Maarch,Non-critique,503,Demande d'information,Non bloquant,[Authentification] Authentification Mixte : Standard + LDAP,9 - Fermé,9/24/2014 17:08,,
OBM,Non-critique,504,Anomalie,Non bloquant,"[webmail] Le message d'origine n'est pas repris lorsqu'on fait Répondre, Répondre à tous ou Transférer",9 - Fermé,9/29/2014 10:47,,
Debian,Critique,506,Demande d'information,Non bloquant,Patch faille ShellShock,7 - Information/solution fournie,9/30/2014 9:14,,
LibreOffice,Non-critique,509,Anomalie,Non bloquant,Le répertoire de la clef de registre des livraisons Windows change à chaque fois ...,9 - Fermé,10/7/2014 15:08,,
Maarch,Non-critique,510,Anomalie,Bloquant,Corbeille de document : erreur sur clause sql,10 - Abandonné,10/7/2014 17:31,,
OBM,Non-critique,511,Anomalie,Non bloquant,[webmail] Perte de l'objet lorsqu'on répond à certains messages,9 - Fermé,10/7/2014 20:33,,
PostgreSQL,Critique,512,Anomalie,Non bloquant,FATAL:  terminating connection due to administrator command,9 - Fermé,10/9/2014 17:10,,
OBM,Non-critique,513,Anomalie,Bloquant,[Administration] Modification de boîte impossible lorsque deux boîtes ont le même login dans deux domaines différents,7 - Information/solution fournie,10/14/2014 15:18,,
OBM,Non-critique,514,Anomalie,Non bloquant,[Agenda] Droits ressource,9 - Fermé,10/14/2014 16:11,,
OBM,Non-critique,515,Anomalie,Bloquant,[Migration Icasso 1 vers Icasso 2] Perte des adresses externes dans les groupes,11 - Rejeté,10/15/2014 9:48,,
OBM,Non-critique,516,Anomalie,Non bloquant,[Migration icasso1 vers icasso2] Problème sur les corbeilles et leurs sous-dossiers après migration,11 - Rejeté,10/15/2014 19:41,,
OBM,Non-critique,517,Anomalie,Non bloquant,[Agenda OBM] Problème lors de la purge d'un très gros agenda,9 - Fermé,10/17/2014 18:09,,
PostgreSQL,Non-critique,518,Demande d'information,Non bloquant,Utilisation mémoire,9 - Fermé,10/20/2014 16:43,,
OBM,Non-critique,519,Anomalie,Non bloquant,[agenda] Impression pdf en vue mois - certains événements n'apparaissent pas,9 - Fermé,10/21/2014 13:02,,
OBM,Non-critique,520,Anomalie,Non bloquant,[agenda] Impression pdf - Manque le dernier caractère du prénom pour le nom et prénom du propriétaire de l'agenda qui apparaît en bas de page,9 - Fermé,10/21/2014 13:06,,
OBM,Non-critique,521,Anomalie,Bloquant,[Synchro agenda] synchro bloque sur un agenda,9 - Fermé,10/22/2014 15:25,,
OBM,Non-critique,522,Anomalie,Non bloquant,[Migration] Après migration la délégation de toutes les ressources est identique,9 - Fermé,10/22/2014 20:19,,
OBM,Non-critique,523,Anomalie,Non bloquant,[sauvegarde / restauration] Destinataires des rapports,7 - Information/solution fournie,10/29/2014 11:25,,
OBM,Non-critique,524,Anomalie,Non bloquant,[Contacts] Commande de suppression,9 - Fermé,10/30/2014 19:37,,
OBM,Non-critique,525,Anomalie,Non bloquant,[Agenda] Décalage des rdv récurretns importés suite passage heure hiver,9 - Fermé,10/30/2014 19:42,,
OBM,Non-critique,526,Anomalie,Non bloquant,[opush] Problème pour synchroniser les mails sur quelques comptes d'une préfecture,2 - Suspendue/Complément demandé,10/31/2014 18:34,,
OBM,Non-critique,527,Anomalie,Non bloquant,[OBM] : Contacts partagés,11 - Rejeté,11/4/2014 15:14,,
Ubuntu,Non-critique,534,Anomalie,Non bloquant,LibreOffice MIMO,9 - Fermé,11/10/2014 15:47,,
LibreOffice,Non-critique,535,Demande d'information,Bloquant,Alerte de sécurité LibreOffice,9 - Fermé,11/10/2014 15:54,,
Liferay,Critique,536,Anomalie,Bloquant,Anomalie publication,3 - Complément transmis,11/17/2014 9:52,,
LibreOffice,Non-critique,537,Demande d'information,Bloquant,Correctif de sécurité ,9 - Fermé,11/17/2014 16:06,,
LibreOffice,Non-critique,539,Demande d'information,Non bloquant,"LibreOffice 4.3.4, questions urgente",9 - Fermé,11/18/2014 9:49,,
OBM,Non-critique,540,Anomalie,Bloquant,[Icasso2] Un groupe n'est plus visible dans l'interface OBM,11 - Rejeté,11/19/2014 12:06,,
Maarch,Non-critique,541,Demande d'information,Non bloquant,Recherche avancée - champ objet,9 - Fermé,11/19/2014 12:27,,
Maarch,Non-critique,542,Anomalie,Non bloquant,Liste des copies - Ordre de tri des documents,9 - Fermé,11/19/2014 13:18,,
OBM,Non-critique,543,Anomalie,Bloquant,[Migration] Erreur lors de l'exécution de l'automate (problème maj des groupes Tous ...),9 - Fermé,11/19/2014 16:03,,
OBM,Non-critique,544,Anomalie,Non bloquant,[opush] OutOfMemoryError,9 - Fermé,11/20/2014 22:25,,
OBM,Non-critique,545,Anomalie,Non bloquant,[Ressources] Accessoires non disponibles,11 - Rejeté,11/21/2014 15:12,,
OBM,Non-critique,546,Anomalie,Non bloquant,[ldap] Modification paramètres de l'environnement BDB,9 - Fermé,11/21/2014 20:11,,
OBM,Non-critique,547,Anomalie,Non bloquant,[ExportLdif.class.php] Ce script ne s'exécute pas sur les serveurs hébergeant beaucoup d'utilisateurs,9 - Fermé,11/21/2014 20:32,,
OBM,Non-critique,548,Anomalie,Non bloquant,[logs obm-tomcat] Saturation de la partition /var/log sur un serveur ,9 - Fermé,11/21/2014 21:07,,
OBM,Non-critique,549,Anomalie,Bloquant,[OBM] : Création d'un rdv via OBM non modifiable sur smartphone pour la PREF36,9 - Fermé,11/24/2014 11:27,,
OBM,Non-critique,550,Anomalie,Non bloquant,[Migration] Erreur migration base de données,9 - Fermé,11/24/2014 14:22,,
LibreOffice,Non-critique,551,Anomalie,Bloquant,Création d'une version MIMO M1 basée sur la 4.3.4,9 - Fermé,11/25/2014 11:47,,
OBM,Non-critique,552,Anomalie,Bloquant,[Migration I1 vers I2] Après migration les dossiers partagés ne peuvent plus être administrés,9 - Fermé,12/1/2014 13:11,,
OBM,Non-critique,553,Anomalie,Bloquant,[opush] Gros problème bloquant sur la prefecture de Nantes,9 - Fermé,12/1/2014 19:25,,
OBM,Non-critique,554,Anomalie,Non bloquant,obm-services.log trop gros,11 - Rejeté,12/2/2014 15:18,,
OBM,Non-critique,555,Anomalie,Non bloquant,[cyrus] Demande d'analyse de log syslog récupéré pendant migration Etch vers Wheezy,9 - Fermé,12/2/2014 19:28,,
Maarch,Non-critique,556,Anomalie,Non bloquant,Historique,11 - Rejeté,12/4/2014 16:53,,
Maarch,Non-critique,557,Anomalie,Non bloquant,Table listinstance - mise à jour systématique du champ added_by_user,9 - Fermé,12/4/2014 17:27,,
OBM,Non-critique,558,Anomalie,Non bloquant,[postfix] Modification du paramètre virtual_alias_expansion_limit,9 - Fermé,12/8/2014 10:00,,
OBM,Non-critique,559,Anomalie,Bloquant,[Migration Icasso 1 vers Icasso 2] Problème pour réaliser la migration de (je pense) notre plus gros serveur en nombre d'utilisateurs,9 - Fermé,12/12/2014 21:59,,
OBM,Non-critique,560,Anomalie,Non bloquant,[cyrus] Comment supprimer des ACLs pour des boîtes qui n'existent plus,9 - Fermé,12/15/2014 20:32,,
OBM,Non-critique,561,Anomalie,Bloquant,[Migration] Echec lors d'une migration Icasso 1 vers Icasso 2 (DDSP19),9 - Fermé,12/18/2014 14:24,,
OBM,Non-critique,562,Anomalie,Bloquant,[Migration] Erreur lors du test d'une migration (erreur migration base de données),11 - Rejeté,12/18/2014 17:40,,
OBM,Non-critique,563,Anomalie,Non bloquant,[Opush] Maximum line length limit exceeded,9 - Fermé,12/18/2014 20:30,,
OBM,Non-critique,564,Anomalie,Non bloquant,[mail.log] Suppression de lignes inutiles et trop nombreuses,9 - Fermé,12/19/2014 17:21,,
OBM,Non-critique,565,Anomalie,Non bloquant,[export/import d'ics] Moulinette permettant d'épurer un ics pour l'importer dans un agenda différent,9 - Fermé,12/19/2014 18:07,,
Debian,Critique,566,Anomalie,Bloquant,Problème rotatelog Apache,7 - Information/solution fournie,1/7/2015 14:07,,
OBM,Non-critique,567,Anomalie,Non bloquant,[automate] Comportement bizarre sur un serveur - validation impossible des suppressions de boîtes,9 - Fermé,1/7/2015 20:05,,
OBM,Non-critique,568,Demande d'information,Non bloquant,[Agenda] Modification de participant,9 - Fermé,1/8/2015 10:24,,
OBM,Non-critique,570,Anomalie,Non bloquant,[ActiveSync] : absence des anciens événements de l'agenda suite création du compte sur le smartphone,11 - Rejeté,1/13/2015 14:36,,
OBM,Non-critique,572,Anomalie,Bloquant,[Migration] Bizarrerie lors du test d'une migration prévue lundi 19 janvier,9 - Fermé,1/15/2015 17:48,,
Alfresco community,Non-critique,573,Demande d'information,Bloquant,Code non correct,9 - Fermé,1/19/2015 11:23,,
Alfresco community,Non-critique,574,Demande d'information,Bloquant,fiche de sécurité : fournir le correctif,9 - Fermé,1/19/2015 11:30,,
LibreOffice,Non-critique,575,Demande d'information,Non bloquant,Affichage des apercçu dans le volet de Visualisation de Windows 7,9 - Fermé,1/23/2015 9:34,,
Autres prestations,,576,Demande d'information,Bloquant,Request-URI Too Long  The requested URL's length exceeds the capacity limit for this server.,9 - Fermé,1/23/2015 9:38,,
OBM,Non-critique,577,Anomalie,Non bloquant,[Groupes] Problème de publication dans ldap suite à doublon d'adresses mail,11 - Rejeté,1/27/2015 7:59,,
OBM,Non-critique,578,Anomalie,Non bloquant,[ldap] Problème de publication des contacts publics dans ldap lorsque un attribut est mal formaté ou contient des caractères spéciaux,9 - Fermé,1/27/2015 8:11,,
OBM,Non-critique,579,Anomalie,Non bloquant,[Agenda distant] Exceptions affichées par OBM,9 - Fermé,1/29/2015 8:35,,
OBM,Non-critique,580,Demande d'information,Non bloquant,[Droits] Définition de droits sur groupe privé,9 - Fermé,1/29/2015 11:35,,
Debian,Critique,582,Demande d'information,Non bloquant,Patch faille glibc,7 - Information/solution fournie,1/30/2015 9:34,,
OBM,Non-critique,583,Anomalie,Bloquant,[Opush] Problème bloquant sur la prefecture 89,9 - Fermé,2/2/2015 11:41,,
Liferay,Critique,584,Anomalie,Non bloquant,Les comptes qui ont été supprimés dans notre annuaire LDAP peuvent encore se connecter à Liferay,10 - Abandonné,2/5/2015 9:51,,
OBM,Non-critique,585,Anomalie,Bloquant,[opush] Problème pour synchroniser deux agendas à la prefecture 89,9 - Fermé,2/5/2015 15:18,,
OBM,Non-critique,586,Anomalie,Non bloquant,[Automate] Problème suppression boîte,2 - Suspendue/Complément demandé,2/9/2015 19:12,,
Maarch,Non-critique,587,Anomalie,Non bloquant,Délégation de l'administration des utilisateurs,11 - Rejeté,2/11/2015 14:19,,
Maarch,Non-critique,588,Anomalie,Non bloquant,Suppression d'un utilisateur - Table users_entities non apurée,9 - Fermé,2/11/2015 14:45,,
OBM,Non-critique,589,Anomalie,Non bloquant,[Suivi des messages] Defaut d'affichage dans la liste des archives,9 - Fermé,2/12/2015 18:22,,
Moodle,Non-critique,591,Demande d'information,Bloquant,Double entrée pour Moodle,9 - Fermé,2/18/2015 9:41,,
OBM,Non-critique,592,Anomalie,Bloquant,[opush] Problème sur certains comptes pour relever les mails (serveur DSIC),9 - Fermé,2/19/2015 11:33,,
OBM,Non-critique,593,Anomalie,Non bloquant,[opush] Blocage de la synchronisation des mails suite à présence de caractères accentués dans le nom des pièces jointes,9 - Fermé,2/19/2015 11:47,,
LibreOffice,Non-critique,594,Anomalie,Non bloquant,La modification partielle de la couleur de texte dans une cellule calc n'est pas prise en compte,9 - Fermé,2/24/2015 9:45,,
Maarch,Non-critique,595,Anomalie,Non bloquant,Notifications avec document en pièce jointe,2 - Suspendue/Complément demandé,3/3/2015 15:58,,
Maarch,Non-critique,596,Anomalie,Non bloquant,N° Chrono - Courrier départ,9 - Fermé,3/3/2015 16:18,,
OBM,Non-critique,597,Anomalie,Non bloquant,[OPush] Dysfonctionnements terminal Sony M2 XPeria - OPush,11 - Rejeté,3/5/2015 13:09,,
OBM,Non-critique,598,Anomalie,Non bloquant,[icasso-conf] Modification main.cf,9 - Fermé,3/6/2015 18:23,,
PostgreSQL,Critique,599,Anomalie,Non bloquant,Résultats pgBadger imprécis voir faux,9 - Fermé,3/11/2015 13:38,,
OBM,Non-critique,600,Anomalie,Non bloquant,[icasso-conf] Modification ulimit pour slapd,9 - Fermé,3/11/2015 20:26,,
OBM,Non-critique,601,Anomalie,Bloquant,[Pablo]Problème d'indexation et compactage,9 - Fermé,3/16/2015 12:57,,
Maarch,Non-critique,603,Anomalie,Bloquant,Recherche avancée - Enregistrement d'une recherche,7 - Information/solution fournie,3/19/2015 17:58,,
Maarch,Non-critique,604,Demande d'information,Non bloquant,Critères de recherche - Statuts,9 - Fermé,3/19/2015 18:05,,
OBM,Non-critique,605,Anomalie,Non bloquant,[catalina.out] Fichier qui grossi beaucoup sur certains serveurs,9 - Fermé,3/20/2015 16:33,,
Pentaho,Critique,606,Anomalie,Non bloquant,Pentaho - Valeur par défaut pour une mesure dans un cube,9 - Fermé,3/24/2015 10:26,,
Mozilla Firefox,Non-critique,607,Anomalie,Bloquant,Accès impossible au site du Ministère,11 - Rejeté,3/24/2015 11:01,,
OBM,Non-critique,608,Anomalie,Non bloquant,[Contacts] Impossible de mettre des apostrophes lors de la création d'un contact,9 - Fermé,3/25/2015 15:13,,
LibreOffice,Non-critique,609,Anomalie,Non bloquant,Tag des versions fournies par CAP dans les remontées d'inventaires,9 - Fermé,3/26/2015 14:07,,
Maarch,Non-critique,610,Anomalie,Bloquant,Mise à jour de l'indicateur 'viewed' d'un document,7 - Information/solution fournie,3/27/2015 10:34,,
Maarch,Non-critique,611,Anomalie,Bloquant,Plan de Classement Organisationel :  suppression de document possible hors contexte,11 - Rejeté,3/27/2015 12:16,,
OBM,Non-critique,612,Anomalie,Bloquant,[Installation] Problème avec le paquet obm-autoconf-conf,9 - Fermé,3/30/2015 19:30,,
Pentaho,Critique,614,Anomalie,Bloquant,Le plugin Saiku versin 2.6 n'affiche pas correctement le grand total pour une mesure calculée,11 - Rejeté,4/2/2015 10:59,,
LibreOffice,Non-critique,615,Anomalie,Bloquant,Mauvais formatage dans les donnée .DOC en provenance de l'éditeur MEGA (cartographie Logicielle),4 - Contournement livré,4/3/2015 11:15,,
OBM,Non-critique,616,Anomalie,Non bloquant,[obm-autoconf-conf] Modifications suite à changement de serveur ENVOL,9 - Fermé,4/3/2015 12:41,,
Liferay,Critique,617,Anomalie,Non bloquant,Bug Liferay dans la fonctionnalité  d'import unitaire,9 - Fermé,4/9/2015 10:11,,
OBM,Non-critique,618,Anomalie,Non bloquant,[opush] Fichier mailSnapshotStore.data très gros sur un serveur (5Go),11 - Rejeté,4/9/2015 18:12,,
OBM,Non-critique,619,Demande d'information,Non bloquant,[opush] Quantité de mémoire utilisée par jetty,9 - Fermé,4/9/2015 19:00,,
OBM,Non-critique,620,Anomalie,Non bloquant,[Agenda] Rdv ics Outlook - OBM,9 - Fermé,4/10/2015 14:08,,
OBM,Non-critique,621,Anomalie,Bloquant,[opush] Problème de synchronisation des mails sur plusieurs téléphones sur un serveur,9 - Fermé,4/10/2015 19:29,,
OBM,Non-critique,622,Anomalie,Non bloquant,[thunderbird] Rédaction des messages en UTF-8,9 - Fermé,4/14/2015 14:55,,
OBM,Non-critique,623,Anomalie,Non bloquant,[Agenda] Import d'agenda,9 - Fermé,4/16/2015 8:42,,
OBM,Non-critique,624,Anomalie,Non bloquant,[Agenda] Consultation distante html: impossible d'ouvrir les détails,9 - Fermé,4/16/2015 15:43,,
OBM,Non-critique,625,Anomalie,Non bloquant,[Agenda] Ressources,9 - Fermé,4/16/2015 15:46,,
OBM,Non-critique,626,Demande d'information,Non bloquant,[OPush] Conseil sur un émulateur Android,9 - Fermé,4/22/2015 9:08,,
OBM,Non-critique,627,Anomalie,Bloquant,"[Bascule] Après bascule sur serveur secondaire, problème propriétaire et groupe sur certains répertoires",9 - Fermé,4/22/2015 16:15,,
OBM,Non-critique,628,Anomalie,Non bloquant,[XPunge] Desinstallation et paramétrage,9 - Fermé,4/23/2015 10:20,,
OBM,Non-critique,629,Anomalie,Non bloquant,[Agenda] Modèles avec participant(s),9 - Fermé,4/23/2015 10:49,,
OBM,Non-critique,630,Anomalie,Bloquant,[Sauvegarde] La sauvegarde d'une boîte sur un serveur de préfecture n'est plus réalisée,9 - Fermé,4/23/2015 19:18,,
OBM,Non-critique,631,Anomalie,Non bloquant,[opush] Multiplication d'un même périphérique et blocage de la synchronisation,9 - Fermé,4/24/2015 12:53,,
LibreOffice,Non-critique,632,Demande d'information,Non bloquant," vulnérabilité CVE-2015-1774 ""OpenOffice HWP Filter Remote Execution and DoS Vulnerability"".",9 - Fermé,4/27/2015 10:25,,
Pentaho,Critique,633,Demande d'information,Non bloquant,Périmètre d'intervention du support,9 - Fermé,5/5/2015 17:12,,
OBM,Non-critique,634,Demande d'information,Non bloquant,[Maj serveurs] Interrogation suite à mise à jour kernel,9 - Fermé,5/5/2015 21:00,,
OBM,Non-critique,635,Anomalie,Non bloquant,[Bascule] Impossibilité de démonter /data,9 - Fermé,5/5/2015 22:32,,
OBM,Non-critique,636,Anomalie,Non bloquant,[Agenda] Erreur SQL lors d'une modification d'event,9 - Fermé,5/6/2015 15:37,,
MySQL,Non-critique,637,Demande d'information,Bloquant,problème de performance sur deux requêtes dans une instance MYSQL,2 - Suspendue/Complément demandé,5/11/2015 11:46,,
OBM,Non-critique,638,Anomalie,Non bloquant,[agenda OBM] Pas de visualisation du dimanche en vue liste sur une semaine,9 - Fermé,5/19/2015 18:04,,
389 Directory Server,Critique,639,Anomalie,Bloquant,Plantages récurrents annuaire LDAP 389 Directory Server 389-ds-base-1.2.11.15-47.el6.x86_64,9 - Fermé,5/20/2015 14:54,,
OBM,Non-critique,640,Anomalie,Non bloquant,[OPush] Hiéroglyphes sur les mails M2 XPeria,9 - Fermé,5/27/2015 14:10,,
Pentaho,Critique,641,Demande d'information,Non bloquant,Comment traduire certains libellés,9 - Fermé,5/29/2015 8:40,,
OBM,Non-critique,642,Anomalie,Bloquant,[opush] Problème synchronisation agenda à la préfecture de la Drome,11 - Rejeté,5/29/2015 19:57,,
OBM,Non-critique,644,Anomalie,Non bloquant,[OPush] Mauvaise interprétation des mails reçus du M2 en transfert,11 - Rejeté,6/3/2015 12:16,,
Moodle,Non-critique,645,Demande d'information,Non bloquant,Supression de compte dans Moodle ,9 - Fermé,6/10/2015 14:46,,
OBM,Non-critique,646,Anomalie,Bloquant,Gros problème sur un serveur suite à manipulations dans la table categoryLink,9 - Fermé,6/15/2015 20:56,,
Pentaho,Critique,648,Demande d'information,Non bloquant,Intégration dans un portail d'accès,9 - Fermé,6/18/2015 11:14,,
OBM,Non-critique,649,Demande d'information,Non bloquant,Android - Conseil OS,9 - Fermé,6/19/2015 16:48,,
OBM,Non-critique,650,Anomalie,Bloquant,Impossible d'écrire sur la partition / sur certains serveurs passifs,9 - Fermé,6/22/2015 12:02,,
OBM,Non-critique,651,Anomalie,Non bloquant,[Groupe] Impossible de mettre à jour un groupe lorsque l'adresse mail d'un des membres externe contient des caractères acdentués,9 - Fermé,6/22/2015 19:11,,
OBM,Non-critique,652,Anomalie,Non bloquant,[agenda] erreur sql lors de l'import d'un modèle d'événement,9 - Fermé,6/24/2015 15:17,,
Pentaho,Critique,653,Demande d'information,Non bloquant,Support de la version 5.2,9 - Fermé,6/25/2015 14:04,,
