LOGICIEL,CRITICITE,ID TICKET,TYPE TICKET,PRIORITE,SUJET,STATUT,DATE SIGNALISATION,ETAT REVERSEMENT,VERSION INCLUANT LE REVERSEMENT
Maarch,Non-critique,266,Anomalie,Bloquant,Modification Liste de diffusion dans page d'indexation,9 - Fermé,11/25/2013 15:22,Accepté sans modification,
Maarch,Non-critique,268,Anomalie,Non bloquant,Gestion des doublons sur contact,9 - Fermé,11/25/2013 15:42,Accepté sans modification,
Maarch,Non-critique,269,Anomalie,Non bloquant,Indexation document -> recherche contact externe,9 - Fermé,11/25/2013 16:04,,
Maarch,Non-critique,270,Anomalie,Non bloquant,Délais de Traitement,9 - Fermé,11/25/2013 16:13,,
Maarch,Non-critique,271,Anomalie,Bloquant,fiche de liaison -> destinataires du courrier pour attribution et pour information ?,9 - Fermé,11/26/2013 13:06,Accepté sans modification,
LibreOffice,Non-critique,276,Anomalie,Non bloquant,Probléme du Crt A sur les fichiers Etiquette,9 - Fermé,11/27/2013 10:12,,
LibrePlan,Non-critique,277,Demande d'information,Non bloquant,"Probléme de nommage du libélé : ""     Projets     Archives  Recherche : MI, LibrePlan-NC-F-VS, 1.4 » MI, LibreOffice-NC-F-VS, 1.4 DI""",9 - Fermé,11/27/2013 10:21,,
Maarch,Non-critique,278,Anomalie,Bloquant,Administration des utilisateurs,9 - Fermé,11/27/2013 11:15,Accepté sans modification,
OBM,Non-critique,279,Anomalie,Non bloquant,"[Agenda] Anomalie sur les rdv avec un participant externe ""Contact""",9 - Fermé,11/27/2013 11:32,,
OBM,Non-critique,280,Anomalie,Non bloquant,[Agenda] Nouveau rdv avec agenda distant affiché ajoute automatiquement l'utilisateur distant en participant,9 - Fermé,11/27/2013 11:37,,
OBM,Non-critique,281,Anomalie,Bloquant,[Agenda distant] Ouvrir un agenda distant peut entraîner une perte d'affichage de tous les agendas affichés sur semaine en cours,9 - Fermé,11/27/2013 13:07,,
Maarch,Non-critique,284,Anomalie,Bloquant,Doublons groupbasket_redirect,9 - Fermé,11/28/2013 12:28,,
Maarch,Non-critique,285,Demande d'information,Non bloquant,Verrouillage de liste,9 - Fermé,11/29/2013 8:41,,
Maarch,Non-critique,286,Anomalie,Non bloquant,Nommage des piéces jointes générées sur template,9 - Fermé,11/29/2013 16:36,,
Maarch,Non-critique,287,Anomalie,Non bloquant,Plan de classement fonctionnel & status,9 - Fermé,11/29/2013 16:41,Accepté sans modification,
Maarch,Non-critique,288,Anomalie,Non bloquant,Indexation et Qualification avec choix d'un statut,9 - Fermé,11/29/2013 17:20,Accepté sans modification,Applied in changeset r2069
Maarch,Non-critique,289,Anomalie,Bloquant,Liste de diffusion (type diffusion aux services),9 - Fermé,12/2/2013 15:48,,
Maarch,Non-critique,290,Anomalie,Bloquant,Liste de diffusion (type diffusion aux services) : respect du perimetre de l'utilisateur,9 - Fermé,12/2/2013 16:50,,
Maarch,Non-critique,291,Anomalie,Non bloquant,Administration des entités,9 - Fermé,12/2/2013 16:59,Accepté sans modification,Applied in changeset r425
Maarch,Non-critique,292,Anomalie,Non bloquant,Redirection de dossier,9 - Fermé,12/3/2013 9:22,,
Maarch,Non-critique,293,Anomalie,Bloquant,Administration des utilisateurs,9 - Fermé,12/3/2013 11:00,,
Maarch,Non-critique,294,Demande d'information,Non bloquant,Gestion des contacts,9 - Fermé,12/3/2013 11:45,,
Maarch,Non-critique,295,Anomalie,Non bloquant,Gestion des contacts : coordonnées confidentielles,9 - Fermé,12/3/2013 11:48,Accepté sans modification,
Maarch,Non-critique,296,Anomalie,Non bloquant,Indexation document -> affichage contact externe / interne,9 - Fermé,12/3/2013 12:02,,
Maarch,Non-critique,297,Anomalie,Bloquant,Gestion des contacts : module administration,9 - Fermé,12/3/2013 14:30,,
Maarch,Non-critique,298,Demande d'information,Non bloquant,Contacts : indice de confiance,9 - Fermé,12/3/2013 14:40,,
Maarch,Non-critique,299,Anomalie,Bloquant,Contacts : modifiables,9 - Fermé,12/3/2013 15:39,Accepté sans modification,Applied in changeset r2014.
Maarch,Non-critique,300,Anomalie,Bloquant,Dossiers : autocompletion du nom,9 - Fermé,12/3/2013 16:52,,
Maarch,Non-critique,301,Anomalie,Bloquant,Corbeille de dossier : affichage du contenu et accés aux documents,9 - Fermé,12/3/2013 17:23,,
Maarch,Non-critique,302,Anomalie,Bloquant,Numero de chrono : interne,9 - Fermé,12/4/2013 11:46,,
Maarch,Non-critique,303,Anomalie,Non bloquant,Corbeille de dossier : clause where,9 - Fermé,12/4/2013 16:23,,
Maarch,Non-critique,304,Anomalie,Non bloquant,Gestion des utilisateurs : création,9 - Fermé,12/4/2013 17:15,,
Autres prestations,Non-critique,305,Demande d'information,Non bloquant,Modification des informations du compte,7 - Information/solution fournie,12/6/2013 9:34,,
GLPI,Critique,307,Anomalie,Non bloquant,dysfonctionnement requêteur GLPI,9 - Fermé,12/9/2013 12:07,Refusé,
Maarch,Non-critique,308,Anomalie,Non bloquant,Indexation document -> Liaison de document,9 - Fermé,12/9/2013 13:15,,
LibreOffice,Non-critique,309,Anomalie,Non bloquant,Probléme sur l'ouverture de gros fichiers .doc avec la version 4.1.4,9 - Fermé,12/10/2013 16:54,,
LibreOffice,Non-critique,310,Anomalie,Non bloquant,Les champs créés en version 3.x de LibreOffice ne sont pas exploitables en version 4.x,9 - Fermé,12/11/2013 11:16,,
Moodle,Non-critique,312,Anomalie,Non bloquant,anomalie #239 - Nous n'arrivons pas à adresser deux Moodle différents (mais pas simultanément) sur un seul etherPAd via le Plug In EtherPad Moodle- etherpad - MI,11 - Rejeté,12/11/2013 17:08,,
Autres prestations,,313,Demande d'information,Non bloquant,Travailler à deux contacts nommés sur un même numero de  bug,9 - Fermé,12/11/2013 17:19,,
OBM,Non-critique,314,Anomalie,Non bloquant,[OBM][Autoconf] Remise à zéro des paramètres de compte : demande des paramètres OBM au redémarrage,9 - Fermé,12/12/2013 11:29,,
OBM,Non-critique,315,Demande d'information,Non bloquant,[OBM] Timezone OBM,9 - Fermé,12/12/2013 14:10,,
OBM,Non-critique,316,Demande d'information,Non bloquant,Déplacement en masse d'utilisateurs d'un serveur en Icasso 2 vers un autre serveur également en Icasso 2,9 - Fermé,12/13/2013 21:30,,
Maarch,Non-critique,317,Anomalie,Non bloquant,export csv - contenu d'une corbeille,10 - Abandonné,12/16/2013 17:41,,
OBM,Non-critique,318,Anomalie,Non bloquant,Horaire d'exécution de la sauvegarde globale sur les serveurs en Outre-Mer,9 - Fermé,12/17/2013 10:13,,
LibreOffice,Non-critique,319,Demande d'information,Non bloquant,LibreOffice 4.1.4.2 est une realease Finale,9 - Fermé,12/18/2013 14:50,,
Maarch,Non-critique,320,Anomalie,Non bloquant,Historiques : soucis IHM lors de la consultation de l'onglet historique,9 - Fermé,12/18/2013 15:49,Accepté sans modification,
Maarch,Non-critique,321,Anomalie,Bloquant,Notifications : ajout d'élément dans notif-event_stack -> notifications sans raison,9 - Fermé,12/30/2013 14:00,,
LibreOffice,Non-critique,324,Anomalie,Bloquant,Fichier .doc provoque un Freeze de LibreOffice toutes versions.,9 - Fermé,1/7/2014 11:46,,
LibreOffice,Non-critique,325,Demande d'information,Non bloquant,Ouverture plein écran et fermeture provoque la disparition de la barre d'outil,9 - Fermé,1/7/2014 14:09,,
Maarch,Non-critique,326,Anomalie,Bloquant,Notes : apostrophe,9 - Fermé,1/9/2014 17:02,Accepté sans modification,Applied in changeset r119
Maarch,Non-critique,327,Anomalie,Bloquant,[Actions ] Ajout en copie,9 - Fermé,1/9/2014 17:07,Accepté sans modification,V1.4 et trunk
Maarch,Non-critique,328,Anomalie,Bloquant,"Notifications : ""joindre le document à la notification""",9 - Fermé,1/14/2014 13:55,Accepté,Applied in changeset r298
Maarch,Non-critique,329,Anomalie,Non bloquant,"Notifications : ""joindre le document à la notification"" -> erreur SQL",9 - Fermé,1/14/2014 13:59,Accepté sans modification,Applied in changeset r296
OBM,Non-critique,330,Anomalie,Bloquant,Problème après migration d'un serveur de prod (Préfecture) en Icasso 2,9 - Fermé,1/14/2014 14:09,,
Maarch,Non-critique,331,Anomalie,Bloquant,Envoi de Mail : depuis la page de traitement,9 - Fermé,1/14/2014 15:41,Accepté sans modification,
Maarch,Non-critique,332,Anomalie,Bloquant,Redirection : pbs de mise à jour de la liste de diffusion,9 - Fermé,1/14/2014 16:12,,
Maarch,Non-critique,333,Anomalie,Non bloquant,Mes contacts - Suppression d'un contact,9 - Fermé,1/15/2014 10:37,Accepté sans modification,Applied in changeset r2107.
Maarch,Non-critique,334,Anomalie,Non bloquant,Mes contacts - Suppression d'un contact - Fil d'Ariane,9 - Fermé,1/15/2014 11:16,Accepté sans modification,Applied in changeset r2107.
Maarch,Non-critique,335,Demande d'information,Non bloquant,Administration des notifications - Listes Type de diffusion & Joindre le document,9 - Fermé,1/15/2014 13:49,,
OBM,Non-critique,336,Anomalie,Non bloquant,[OBM-UI] Incompatibilité IE8 (voir IE9),7 - Information/solution fournie,1/17/2014 12:17,,
Maarch,Non-critique,338,Anomalie,Bloquant,Date limite de traitement - modification du type de document,9 - Fermé,1/20/2014 17:51,Accepté sans modification,Applied in changeset r2081.
Maarch,Non-critique,339,Anomalie,Bloquant,Changement d'expéditeur,9 - Fermé,1/21/2014 9:44,Accepté sans modification,Applied in changeset r2083
Maarch,Non-critique,340,Anomalie,Non bloquant,Lien Retour sur page Détail,9 - Fermé,1/21/2014 10:03,Soumis à la communauté,
LibreOffice,Non-critique,341,Anomalie,Non bloquant,La version  4.1.4.2 m8  fournie n'a pas le bon splashscreen et s'installe dans un répertoire DEV,9 - Fermé,1/21/2014 14:24,,
Maarch,Non-critique,342,Anomalie,Non bloquant,Historique - Confidentialité des notes ,9 - Fermé,1/22/2014 9:25,Accepté sans modification,Applied in changeset r117.
Liferay,Critique,343,Anomalie,Non bloquant,Problème de publication,11 - Rejeté,1/22/2014 9:58,,
Maarch,Non-critique,344,Anomalie,Non bloquant,Administration des notifications - Listes Type de diffusion,10 - Abandonné,1/22/2014 11:35,,
OBM,Non-critique,345,Anomalie,Non bloquant,Erreur sql lors de la première restauration d'une boite,9 - Fermé,1/23/2014 17:02,,
OBM,Non-critique,346,Anomalie,Non bloquant,[OBM] Groupes publics avec contact public : non mise à jour lors de modifications du contact,9 - Fermé,1/24/2014 9:45,,
LibreOffice,Non-critique,347,Anomalie,Non bloquant,La version M8 ne se comporte pas comme une version finale  : elle ne desinstalle pas la version précédente de LibreOffice présente sur le poste,9 - Fermé,1/28/2014 10:56,,
LibreOffice,Non-critique,358,Anomalie,Non bloquant,Import cassés de fichiers HTML sur notre comptabilité NEMO,9 - Fermé,2/3/2014 10:13,,
Liferay,Critique,359,Anomalie,Non bloquant,Demande de correction de la version 6.0.6,9 - Fermé,2/3/2014 11:31,,
LibreOffice,Non-critique,360,Anomalie,Non bloquant,Base de la version MIMO M9 ???? Pas la version officielle finale. ,9 - Fermé,2/4/2014 11:23,,
LibrePlan,Non-critique,361,Anomalie,Bloquant,Libreplan,9 - Fermé,2/4/2014 11:57,,
LibreOffice,Non-critique,362,Anomalie,Bloquant,Fichier qui plante sur la M9 mais fonctionne correctement sur 4.1.4.2 TDF,9 - Fermé,2/4/2014 13:50,,
Maarch,Non-critique,363,Anomalie,Non bloquant,Gestion des absences - Redirection de corbeilles,9 - Fermé,2/5/2014 12:19,Accepté,
Maarch,Non-critique,364,Anomalie,Non bloquant,Plan de classement - Gérer les types de documents,9 - Fermé,2/6/2014 10:09,,
LibreOffice,Non-critique,365,Anomalie,Non bloquant,Le timbre du fichier n'est pas modifiable dans les versions 3.5.7 de LibreOffice,9 - Fermé,2/6/2014 15:43,,
OBM,Non-critique,366,Anomalie,Non bloquant,obm-connector ne se met pas à jour sur certains profils thunderbird,2 - Suspendue/Complément demandé,2/7/2014 12:46,,
Alfresco community,Non-critique,367,Anomalie,Non bloquant,conséquence du renommage d'un site sur les notifications liées à une règle,2 - Suspendue/Complément demandé,2/7/2014 14:43,,
Alfresco community,Non-critique,368,Anomalie,Non bloquant,listes de données,3 - Complément transmis,2/7/2014 15:10,,
Alfresco community,Non-critique,369,Demande d'information,Non bloquant,copie d'une liste d'éléments,9 - Fermé,2/7/2014 15:18,,
Maarch,Non-critique,370,Anomalie,Non bloquant,validate_mail.php,9 - Fermé,2/12/2014 15:57,Accepté,Applied in changeset r2087.
PostgreSQL,Critique,372,Demande d'information,Non bloquant,Partage de file system,9 - Fermé,2/13/2014 10:44,,
PostgreSQL,Critique,373,Demande d'information,Non bloquant,Partage de file system (bis),9 - Fermé,2/13/2014 11:20,,
PostgreSQL,Critique,374,Demande d'information,Non bloquant,Partage de file system (ter),9 - Fermé,2/13/2014 11:20,,
OBM,Non-critique,377,Anomalie,Non bloquant,[agenda] Dans les messages de rappels de rdv on a les heures métropole sur les serveurs installés en outre-mer,9 - Fermé,2/13/2014 13:18,,
Maarch,Non-critique,378,Anomalie,Bloquant,Modification d'un groupe : service entité,9 - Fermé,2/18/2014 14:23,Accepté sans modification,Applied in changeset r2114
Maarch,Non-critique,379,Anomalie,Bloquant,"Modification de la liste de diffusion depuis la page ""Détails""",9 - Fermé,2/18/2014 14:28,Accepté sans modification,Applied in changeset r451.
Maarch,Non-critique,380,Anomalie,Non bloquant,Messages d'erreurs au lancement de l'applet java de Maarch avec java 7.51,9 - Fermé,2/21/2014 11:31,Accepté sans modification,Applied in changeset r90.
LibreOffice,Non-critique,381,Demande d'information,Non bloquant,"Les versions compilées par CAP GEMINI n'étant pas signées , il est impossible de les déployer avec certains outils de Gestion de parc",9 - Fermé,2/24/2014 15:51,,
Maarch,Non-critique,382,Anomalie,Bloquant,maarch_ws_client v1.4,10 - Abandonné,2/25/2014 12:27,,
OBM,Non-critique,384,Anomalie,Non bloquant,[OBM] : modif sur rdv avec alerte,9 - Fermé,3/3/2014 14:54,,
LibreOffice,Non-critique,385,Anomalie,Bloquant,Regression Ancrage des objets,9 - Fermé,3/5/2014 9:55,,
LibreOffice,Non-critique,386,Anomalie,Bloquant,Les problémes de lecture de fichiers en réseau perdurent bien que plus rares et qq soit la version de LibO 4.x,9 - Fermé,3/6/2014 10:45,,
OBM,Non-critique,387,Anomalie,Non bloquant,[Opush] : Contact créé via pda ne remonte pas sur OBM,9 - Fermé,3/10/2014 13:24,,
GLPI,Critique,388,Anomalie,Non bloquant,Dysfonctionnement requêteur GLPI,9 - Fermé,3/12/2014 10:58,,
OBM,Non-critique,390,Anomalie,Non bloquant,[Client Tb] : enregistrement d'un nouveau contact,9 - Fermé,3/13/2014 15:01,,
PostgreSQL,Critique,391,Demande d'information,Non bloquant,Comportement de PostgreSQL sur une plate-forme CentOS 6.3,9 - Fermé,3/14/2014 10:09,,
LibreOffice,Non-critique,392,Anomalie,Non bloquant,Impossible de suprimer un Style avec CALC quand les styles sont dans un autre mode que Appliqué ou Personalisé,9 - Fermé,3/14/2014 15:47,,
LibreOffice,Non-critique,393,Anomalie,Non bloquant,Icone Format Bordure non fonctionnel ,9 - Fermé,3/17/2014 14:35,,
OBM,Non-critique,394,Anomalie,Non bloquant,Rappel de rdv en minutes,9 - Fermé,3/19/2014 10:36,,
LibreOffice,Non-critique,396,Anomalie,Bloquant,Bug de sécurité LibreOffice,9 - Fermé,3/21/2014 11:03,,
PostgreSQL,Non-critique,399,Demande d'information,Bloquant,Gestion des connexions et paramétrage du fichier Postgresql.conf,9 - Fermé,3/24/2014 12:31,,
OBM,Non-critique,400,Anomalie,Non bloquant,Problème de génération des maps postfix lors d'une bascule,11 - Rejeté,3/27/2014 11:35,,
OBM,Non-critique,402,Anomalie,Non bloquant,[OBM] Agenda : changeùment d'heure sur les ics,9 - Fermé,4/1/2014 10:52,,
OBM,Non-critique,403,Anomalie,Non bloquant,[OBM] Rdv récurrent accepté via ics - consultation ics,9 - Fermé,4/1/2014 14:22,,
OBM,Non-critique,404,Anomalie,Non bloquant,[OBM] Agenda : importation rdv en attente,11 - Rejeté,4/4/2014 10:55,,
OBM,Non-critique,405,Anomalie,Non bloquant,[OBM] Agenda : anomalie à l'import,9 - Fermé,4/4/2014 10:58,,
OBM,Non-critique,406,Anomalie,Non bloquant,[OBM] Agenda : anomalie sur les rdv récurrent,9 - Fermé,4/4/2014 11:12,,
OBM,Non-critique,407,Anomalie,Non bloquant,[OBM] Agenda : synchronisation affiche le panneau bleu des ics,9 - Fermé,4/4/2014 11:37,,
OBM,Non-critique,409,Anomalie,Bloquant,[migration] Erreur lors de la migration de la base de données,9 - Fermé,4/8/2014 12:46,,
PostgreSQL,Critique,410,Demande d'information,Non bloquant,Nettoyage des journaux de transactions archivés,9 - Fermé,4/8/2014 17:10,,
OBM,Non-critique,411,Anomalie,Bloquant,[migration] Erreur dans obm-javalog,9 - Fermé,4/8/2014 19:13,,
LibreOffice,Non-critique,412,Demande d'information,Non bloquant,le Bug OpenSSL affecte t -il LibreOffice ?,9 - Fermé,4/9/2014 11:21,,
Maarch,Non-critique,414,Anomalie,Non bloquant,Dossier - Recherche de dossiers avec un champ custom ,9 - Fermé,4/10/2014 14:10,,
